0.34,0.25,0.00303
0.35,0.24,0.00504
0.36,0.26,0.00178
0.37,0.32,0.00005
0.38,0.22,0.01311
0.39,0.24,0.00504
0.40,0.23,0.00822
0.41,0.29,0.00032
0.42,0.22,0.01311
0.43,0.29,0.00032
0.44,0.23,0.00822
0.45,0.23,0.00822
0.46,0.28,0.00058
0.47,0.26,0.00178
0.48,0.25,0.00303
0.49,0.25,0.00303
0.50,0.26,0.00178
0.51,0.31,0.00009
0.52,0.31,0.00009
0.53,0.24,0.00504
0.54,0.32,0.00005
0.55,0.32,0.00005
0.56,0.32,0.00005
0.57,0.29,0.00032
0.58,0.26,0.00178
0.59,0.26,0.00178
0.60,0.29,0.00032
0.61,0.30,0.00017
0.62,0.29,0.00032
0.63,0.28,0.00058
0.64,0.28,0.00058
0.65,0.31,0.00009
0.66,0.28,0.00058
0.67,0.29,0.00032
0.68,0.29,0.00032
0.69,0.29,0.00032
0.70,0.29,0.00032
0.71,0.30,0.00017
0.72,0.27,0.00103
0.73,0.29,0.00032
0.74,0.27,0.00103
0.75,0.26,0.00178
0.76,0.27,0.00103
0.77,0.28,0.00058
0.78,0.30,0.00017
0.79,0.28,0.00058
0.80,0.28,0.00058
0.81,0.27,0.00103
0.82,0.29,0.00032
